名称,斬,打,突,熱,冷,雷,陽,陰,毒,暗闇,スタン,マヒ,眠り,石化,混乱,魅了,狂戦士,気絶,腕力,体力,器用さ,素早さ,知力,精神,愛,魅力,所持数
★天道の法衣,-35,15,-35,-35,-35,-35,-35,85,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,5
★武者の甲冑,85,15,-35,-35,-35,-35,-35,-35,0,0,0,0,0,0,0,0,0,0,-3,10,-3,-3,-3,10,0,0,5
アドベンチャーコート,28,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,-3,0,0,1
アバロンの聖衣,16,16,16,30,30,30,18,18,0,0,0,0,0,0,0,0,0,0,-3,-2,0,0,2,0,0,0,1
ヴィオーラドレス,18,18,18,42,42,4,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,0,2,8,5,0,0,1
エンペラーアーマー,44,44,33,0,0,0,46,0,0,0,40,0,0,0,0,0,0,0,0,7,-3,-7,0,0,2,2,1
ガーラルアーマー,50,39,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,-6,0,0,0,0,1
ガンナーズスーツ,28,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,-1,0,0,0,1
きょうふのローブ,11,11,11,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,3,5,0,0,0,1
クグツ使いの装衣,50,40,50,0,0,0,0,0,0,0,0,40,0,0,0,0,40,0,0,2,0,-1,0,0,0,2,5
げんじのよろい,30,36,36,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,2,0,2,0,0,2,0,0,1
ゴールデンローブ,13,13,13,21,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,3,1,2
ジェスタードレス,12,12,12,22,22,22,0,56,0,0,0,30,30,0,0,0,0,0,-4,-3,0,0,4,6,0,0,1
スプリガンスーツ,38,38,27,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,5,0,-6,0,0,1,0,1
タイタンスーツ,40,40,29,24,24,24,0,0,0,20,0,0,0,0,0,0,0,0,0,8,0,-8,0,4,0,0,1
デスメイドドレス,37,50,50,0,0,0,0,32,0,0,0,0,0,0,0,0,40,0,4,0,0,2,0,0,2,0,1
ドラゴンアーマー,46,35,46,10,10,10,0,0,40,0,0,0,0,0,0,0,0,0,0,7,0,-5,0,7,0,0,1
トラベラースーツ,42,31,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,-5,0,0,0,0,1
トリックローブ,10,10,10,20,20,20,-6,34,0,0,0,0,40,0,0,0,0,0,-4,-5,0,0,0,6,0,5,1
ハルモニアスーツ,35,35,25,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-6,0,0,2,0,1
パワードスーツ,38,38,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,1
ヒーローアーマー,28,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2,0,3,0,0,2,1,1
ヒドラレザー,22,32,32,28,28,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,0,-3,-3,1,1,1
ピンクコスチューム,25,34,34,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,-1,0,3,0,3,0,4,1
ホリデードレス,10,10,10,36,48,36,56,0,0,0,0,0,0,0,0,0,0,0,-5,-4,0,4,4,9,0,0,1
ロアーヌの銀鎧,36,25,36,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,2,2,-2,0,2,0,0,1
ロビンボーイスーツ,37,50,50,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,2,1,0,-2,1
ロブスターメイル,20,30,30,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2,0,0,0,0,1
闇纏のローブ,14,14,14,8,8,8,0,46,30,0,0,0,0,0,0,30,0,0,-5,-5,0,0,5,5,0,0,1
英雄の銀鎧,42,31,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,-6,0,5,0,0,1
炎獣の革,33,42,42,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-2,0,0,0,0,1
炎雷の鎧,33,42,42,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,-2,2,0,0,1
希望の鎧,27,38,38,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,-2,-1,4,0,2,0,1,0,1
巨神の胸甲,44,33,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,4,0,-3,0,0,0,0,1
漁師の装束,44,44,33,0,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-3,-5,0,0,2,2,1
暁光の神秘鎧,46,35,46,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,2,5,0,-4,0,0,0,2,1
剣客の装束,35,46,46,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,4,0,0,0,4,0,0,1
幻想のローブ,13,13,13,26,26,26,0,0,0,0,0,0,0,0,0,0,0,0,-6,0,2,0,2,0,6,0,1
語り部の装束,29,40,40,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,-2,-2,5,0,0,0,0,0,1
光纏の鎧,35,44,44,0,0,0,34,0,0,0,0,0,0,40,0,0,0,0,0,3,0,0,0,4,2,0,1
光冥の鎧,50,50,39,0,0,0,40,40,0,0,0,0,0,0,0,0,0,0,0,8,-3,-6,0,7,0,0,1
黒のガラドリエル,40,29,40,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,3,0,-5,0,1,0,0,1
佐賀のはんてん,27,38,38,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,3,-1,3,3,1
燦炎のコート,11,11,11,30,4,4,0,0,0,0,24,24,0,24,0,0,0,0,-6,-2,0,0,6,3,0,0,1
死の鎧,38,27,38,0,0,0,-20,26,0,0,0,0,0,0,0,0,0,0,1,3,0,-8,0,0,0,0,1
獅子の黒鎧,54,44,54,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,8,5,0,-5,0,0,0,0,1
紫黒の鎧,42,29,42,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,-2,4,4,-5,0,0,0,0,1
漆黒の鎧,38,27,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-3,4,-3,0,0,1
朱鳥の鎧,48,35,48,54,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,-5,0,7,0,0,1
従士のスーツ,52,52,41,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-4,2,0,8,0,3,1
宵闇のローブ,46,46,35,-20,20,20,0,36,20,20,0,20,20,20,20,20,20,20,0,0,0,0,0,0,0,0,1
水波の魔導衣,13,13,13,4,47,4,0,0,0,0,0,0,0,0,0,0,0,0,-4,3,0,0,5,0,0,0,1
水明のドレス,11,11,11,4,30,4,0,0,0,0,24,0,0,0,24,24,0,0,-6,-2,0,0,6,3,0,0,1
星辰のローブ,13,13,13,21,21,21,0,0,0,0,0,0,0,0,0,0,0,0,-4,0,0,2,6,2,2,1,1
星辰の鎧,34,23,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,-3,3,-2,0,0,1
聖王の鎧,36,25,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,-4,0,-2,0,0,1
赤甲の鎧,46,35,46,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,-5,0,4,0,0,1
太陽のローブ,13,13,13,21,21,21,0,0,16,16,16,16,16,16,16,16,16,16,-4,0,0,1,4,0,2,1,1
竹崎カニメイル,42,29,42,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,-4,0,0,1,3,1
武神の鎧,46,46,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,7,3,0,-6,0,0,0,0,1
文化祭コーデ,25,32,32,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,1,-2,0,3,-2,0,4,0,1
鳳炎の魔導衣,13,13,13,47,4,4,0,0,0,0,0,0,0,0,0,0,0,0,-4,3,0,0,5,0,0,0,1
亡王の鎧,40,29,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,5,-3,0,-4,0,0,0,-1,1
魔性のローブ,13,13,13,26,26,26,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,5,5,0,0,1
魅惑のローブ,12,12,12,24,24,24,0,20,0,0,0,20,0,20,0,20,0,0,-3,-6,0,0,6,4,0,0,1
竜鱗の鎧,56,43,56,36,36,36,0,0,10,10,10,10,10,10,10,10,10,10,0,8,0,-6,0,0,0,0,1
龍舞ノ御衣,11,11,11,42,22,22,0,0,0,0,0,0,0,0,0,0,0,0,-4,-5,0,5,7,0,0,0,1
騙名の鎧,46,46,35,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,2,8,0,-8,0,3,0,0,1
